Date,Congestion_Level,Avg_Speed_kmph
2024-12-09,1,40.95
2024-12-10,3,28.6
2024-12-11,3,31.41
2024-12-12,1,38.71
2024-12-13,3,30.23
2024-12-14,1,41.04
2024-12-15,5,24.59
2024-12-16,5,23.62
2024-12-17,2,36.54
2024-12-18,3,28.62
2024-12-19,3,33.91
2024-12-20,3,30.62
2024-12-21,2,37.82
2024-12-22,2,34.83
2024-12-23,5,25.92
2024-12-24,5,28.16
2024-12-25,2,32.2
2024-12-26,5,28.13
2024-12-27,5,25.11
2024-12-28,2,34.15
2024-12-29,2,35.12
2024-12-30,5,25.18
2024-12-31,1,38.31
2025-01-01,3,30.09
2025-01-02,5,25.05
2025-01-03,5,16.72
2025-01-04,1,39.55
2025-01-05,2,33.66
2025-01-06,2,35.42
2025-01-07,1,38.73
2025-01-08,1,40.69
2025-01-09,5,24.47
2025-01-10,2,32.66
2025-01-11,3,29.62
2025-01-12,5,19.91
2025-01-13,2,33.73
2025-01-14,3,28.36
2025-01-15,5,15.86
2025-01-16,2,31.6
2025-01-17,1,41.64
2025-01-18,1,40.68
2025-01-19,2,36.65
2025-01-20,1,40.78
2025-01-21,4,25.77
2025-01-22,1,42.03
2025-01-23,3,30.97
2025-01-24,2,38.11
2025-01-25,2,30.61
2025-01-26,3,32.54
2025-01-27,1,39.78
2025-01-28,3,28.48
2025-01-29,2,37.05
2025-01-30,5,23.46
2025-01-31,2,31.97
2025-02-01,3,32.13
2025-02-02,1,37.86
2025-02-03,3,29.75
2025-02-04,3,29.12
2025-02-05,3,31.43
2025-02-06,1,41.61
2025-02-07,1,36.26
2025-02-08,1,39.73
2025-02-09,2,34.74
2025-02-10,2,31.45
2025-02-11,4,26.81
2025-02-12,4,24.96
2025-02-13,5,21.79
2025-02-14,3,28.59
2025-02-15,5,23.31
2025-02-16,4,25.78
2025-02-17,2,36.02
2025-02-18,2,35.21
2025-02-19,5,19.09
2025-02-20,2,37.15
2025-02-21,5,20.45
2025-02-22,1,41.59
2025-02-23,4,22.5
2025-02-24,5,19.48
2025-02-25,4,22.63
2025-02-26,5,19.41
2025-02-27,3,30.5
2025-02-28,4,23.01
2025-03-01,1,37.58
2025-03-02,3,30.5
2025-03-03,1,37.89
2025-03-04,2,33.46
2025-03-05,5,20.42
2025-03-06,3,28.78
2025-03-07,3,31.94
2025-03-08,1,37.24
2025-03-09,2,37.28
2025-03-10,3,27.86
2025-03-11,4,25.53
2025-03-12,5,20.84
2025-03-13,3,32.44
2025-03-14,3,30.55
2025-03-15,1,40.85
2025-03-16,1,41.19
2025-03-17,3,28.39
2025-03-18,2,35.89
2025-03-19,4,23.84
2025-03-20,4,29.2
2025-03-21,5,24.09
2025-03-22,5,22.06
2025-03-23,1,39.33
2025-03-24,5,19.93
2025-03-25,2,33.29
2025-03-26,4,24.56
2025-03-27,2,33.74
2025-03-28,5,21.87
2025-03-29,4,22.74
2025-03-30,3,27.79
2025-03-31,3,30.98
2025-04-01,2,33.65
2025-04-02,2,33.86
2025-04-03,3,28.08
2025-04-04,4,22.02
2025-04-05,2,36.03
2025-04-06,1,41.14
2025-04-07,4,26.6
2025-04-08,5,22.54
2025-04-09,4,30.93
2025-04-10,2,34.61
2025-04-11,4,27.6
2025-04-12,1,35.9
2025-04-13,2,35.06
2025-04-14,1,38.83
2025-04-15,3,28.11
2025-04-16,4,20.86
2025-04-17,2,35.46
2025-04-18,4,26.48
2025-04-19,1,39.47
2025-04-20,4,22.95
2025-04-21,4,26.04
2025-04-22,2,34.99
2025-04-23,2,34.95
2025-04-24,2,37.82
2025-04-25,5,19.77
2025-04-26,3,33.16
2025-04-27,4,22.85
2025-04-28,2,36.58
2025-04-29,3,29.43
2025-04-30,2,36.05
2025-05-01,1,43.08
2025-05-02,2,34.37
2025-05-03,1,40.83
2025-05-04,1,40.74
2025-05-05,3,30.97
2025-05-06,2,31.68
2025-05-07,3,32.17
2025-05-08,1,42.23
2025-05-09,4,25.24
2025-05-10,2,38.53
2025-05-11,3,29.29
2025-05-12,1,41.57
2025-05-13,2,34.68
2025-05-14,4,23.03
2025-05-15,3,28.41
2025-05-16,3,28.35
2025-05-17,2,34.38
2025-05-18,2,35.19
2025-05-19,2,32.68
2025-05-20,3,30.88
2025-05-21,5,16.89
2025-05-22,4,27.0
2025-05-23,2,35.14
2025-05-24,1,40.66
2025-05-25,1,41.58
2025-05-26,2,35.54
2025-05-27,2,33.37
2025-05-28,3,29.34
2025-05-29,3,31.28
2025-05-30,4,23.91
2025-05-31,2,35.67
2025-06-01,2,35.59
2025-06-02,3,28.79
2025-06-03,2,37.26
2025-06-04,4,22.78
2025-06-05,2,34.39
2025-06-06,1,38.5
2025-06-07,3,30.82
2025-06-08,3,28.46
2025-06-09,4,28.47
2025-06-10,2,35.23
2025-06-11,2,37.04
2025-06-12,3,31.48
2025-06-13,3,26.02
2025-06-14,4,20.2
2025-06-15,1,40.58
2025-06-16,4,27.61
2025-06-17,3,35.76
2025-06-18,2,34.64
2025-06-19,3,29.03
2025-06-20,4,20.06
2025-06-21,3,27.77
2025-06-22,3,31.91
2025-06-23,3,27.32
2025-06-24,3,30.79
2025-06-25,4,24.75
2025-06-26,4,23.89
2025-06-27,4,26.21
2025-06-28,3,31.49
2025-06-29,2,35.87
2025-06-30,2,35.44
